0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1,9,936,4,2,52,2,1,3,4,7,2,4,2,0,2,2,1,2,1,0
-1,12,1168,4,3,27,1,1,0,2,0,0,2,3,0,0,2,1,1,0,0
-1,27,5117,3,4,26,2,1,3,3,9,0,3,2,0,2,2,1,2,0,0
1,12,902,4,4,21,1,1,0,2,8,0,3,3,0,1,2,0,2,0,0
-1,12,1495,4,1,38,2,2,3,4,0,0,4,2,0,0,2,1,1,0,0
-1,30,10623,3,4,38,3,2,0,4,1,0,4,2,0,3,2,2,3,1,0
-1,12,1935,4,4,43,3,1,3,4,3,0,4,2,0,0,2,1,2,1,0
-1,12,1424,4,3,26,1,1,1,4,5,0,3,2,0,1,2,1,2,0,0
-1,24,6568,2,2,21,1,1,0,2,9,0,2,3,0,2,1,1,1,0,0
-1,12,1413,3,2,55,1,1,3,2,1,3,3,2,0,1,2,1,2,0,1
-1,9,3074,1,2,33,2,2,3,4,4,4,2,2,0,0,2,1,2,0,0
-1,36,3835,2,4,45,1,1,3,2,4,4,4,1,0,0,2,1,1,1,0
1,27,5293,2,4,50,2,1,0,0,9,0,0,2,0,1,1,1,2,1,0
1,30,1908,4,4,66,1,1,2,3,9,0,4,2,0,0,2,1,3,1,0
-1,36,3342,4,2,51,1,1,3,4,4,4,4,2,0,2,2,1,2,1,0
-1,6,932,1,3,39,2,1,1,4,8,4,3,1,0,1,2,1,1,0,0
-1,18,3104,3,1,31,1,1,0,0,9,0,3,2,0,1,0,1,2,1,0
-1,36,3913,2,2,23,1,1,2,2,4,0,2,2,0,0,2,1,2,1,0
-1,24,3021,2,2,24,1,1,0,2,3,0,2,0,0,0,2,0,1,0,0
-1,10,1364,2,4,64,1,1,3,2,0,0,2,1,0,2,2,1,2,1,0
-1,12,625,4,1,26,1,1,1,2,4,0,1,3,2,0,0,1,1,0,0
-1,12,1200,4,4,23,1,1,0,2,7,4,2,1,0,1,0,0,2,1,0
-1,12,707,4,2,30,2,1,3,2,4,0,2,2,0,0,0,1,2,0,0
-1,24,2978,4,4,32,2,2,3,3,9,4,2,2,0,0,2,1,2,1,0
-1,15,4657,3,2,30,1,1,3,2,1,0,2,2,0,2,2,1,2,1,0
-1,36,2613,4,2,27,2,1,3,0,6,0,2,2,0,2,2,1,2,0,0
1,48,10961,1,2,27,2,1,1,2,4,3,3,2,1,3,0,1,2,1,0
1,12,7865,4,4,53,1,1,0,2,3,0,4,2,0,3,2,2,3,1,0
1,9,1478,4,2,22,1,1,3,2,4,0,3,2,0,2,2,1,2,0,0
-1,24,3149,4,1,22,1,1,0,2,3,0,1,2,0,3,0,2,2,0,0
1,36,4210,4,2,26,1,1,2,2,4,0,2,2,0,2,2,1,2,0,0
-1,9,2507,2,4,51,1,1,3,2,0,2,4,2,0,3,2,2,1,0,0
-1,12,2141,3,1,35,1,1,3,2,4,1,3,2,0,3,2,1,2,0,0
-1,18,866,4,2,25,1,1,1,2,4,0,2,3,2,0,2,1,1,0,0
-1,4,1544,2,1,42,3,2,3,4,4,0,3,2,0,0,2,1,1,0,0
1,24,1823,4,2,30,1,2,0,2,4,0,0,2,0,2,1,1,3,0,0
1,6,14555,1,2,23,1,1,1,2,0,4,0,2,0,1,2,1,0,1,0
1,21,2767,4,2,61,2,1,1,2,9,1,4,0,0,2,0,0,1,0,0
-1,12,1291,4,2,35,2,1,3,4,4,0,2,1,0,1,2,1,2,0,0
-1,30,2522,1,3,39,1,2,0,2,4,0,4,2,2,1,2,1,2,0,0
1,24,915,4,2,29,1,1,0,2,0,4,4,1,0,2,0,1,2,0,0
-1,6,1595,3,2,51,1,2,3,2,4,0,3,2,0,1,2,1,2,0,0
1,48,4605,3,4,24,2,2,0,0,1,0,4,2,0,3,2,2,2,0,0
-1,12,1185,3,2,27,2,1,3,4,9,0,2,1,0,0,2,1,2,0,0
-1,12,3447,4,3,35,1,2,3,1,8,2,2,1,0,0,2,1,1,0,0
-1,24,1258,4,1,25,1,1,3,2,9,0,3,2,0,0,2,1,2,1,0
-1,12,717,4,4,52,3,1,3,4,4,0,4,2,0,0,2,1,2,0,0
-1,6,1204,4,1,35,1,1,3,0,0,1,2,2,0,3,0,0,2,0,1
-1,24,1925,2,2,26,1,1,2,2,3,0,2,2,0,0,2,1,2,0,0
1,18,433,3,4,22,1,1,3,2,4,0,0,1,1,0,2,0,2,0,0
-1,6,666,3,4,39,2,1,0,4,0,3,3,1,0,0,2,1,1,1,0
-1,12,2251,1,2,46,1,1,2,2,3,0,2,1,0,2,2,1,1,0,0
1,30,2150,4,2,24,1,1,1,2,0,0,2,1,2,3,0,1,2,0,0
-1,24,4151,2,3,35,2,1,3,3,3,1,2,2,0,1,2,1,2,0,0
-1,9,2030,2,1,24,1,1,1,2,3,4,3,2,0,2,2,1,2,1,0
-1,60,7418,1,1,27,1,1,1,3,4,4,2,2,0,0,2,1,1,0,0
-1,24,2684,4,2,35,2,1,3,4,4,0,2,2,0,0,2,1,1,0,0
1,12,2149,4,1,29,1,1,0,1,4,0,2,0,0,3,2,2,2,0,0
-1,15,3812,1,4,23,1,1,3,2,1,1,1,1,0,2,2,1,2,1,0
-1,11,1154,4,4,57,3,1,3,4,4,1,0,1,0,0,2,1,1,0,0
-1,12,1657,2,2,27,1,1,0,2,3,0,2,2,0,0,2,1,2,0,0
-1,24,1603,4,4,55,1,1,0,2,4,0,4,1,0,2,2,1,2,0,0
-1,18,5302,2,4,36,3,1,0,4,0,0,4,2,0,3,2,2,3,1,0
-1,12,2748,2,4,57,3,1,3,4,7,0,4,1,0,3,0,2,1,0,0
-1,10,1231,3,4,32,2,2,3,4,0,0,4,2,0,0,2,1,1,0,1
1,15,802,4,3,37,1,2,1,2,4,0,4,2,0,2,2,1,2,0,0
-1,36,6304,4,4,36,2,1,3,4,9,4,4,2,0,0,2,1,2,0,0
-1,24,1533,4,3,38,1,1,3,2,4,0,1,1,0,2,1,1,2,1,0
1,14,8978,1,4,45,1,1,0,2,0,0,4,0,0,1,2,1,3,1,1
-1,24,999,4,2,25,2,1,3,2,4,4,4,2,0,2,2,1,2,0,0
-1,18,2662,4,3,32,1,1,3,2,0,4,3,2,0,1,2,1,2,0,1
-1,12,1402,3,4,37,1,1,3,4,3,2,3,1,0,2,2,0,2,1,0
-1,48,12169,4,4,36,1,1,1,1,0,4,0,2,1,3,2,2,3,1,0
1,48,3060,4,4,28,2,1,1,2,4,0,3,2,0,0,2,1,2,0,0
1,30,11998,1,1,34,1,1,0,2,6,0,1,0,0,3,2,1,1,1,0
-1,9,2697,1,2,32,1,2,3,2,4,0,2,2,0,0,2,1,2,0,0
-1,18,2404,2,2,26,2,1,3,4,4,0,2,1,0,2,2,1,2,0,0
-1,12,1262,2,4,49,1,1,0,2,3,4,4,0,0,1,2,1,1,1,0
1,6,4611,1,4,32,1,1,3,2,3,0,1,1,0,1,2,1,2,0,0
-1,24,1901,4,4,29,1,1,3,2,4,1,2,2,0,2,2,0,3,1,0
-1,15,3368,3,4,23,2,1,3,4,1,3,4,2,0,3,2,0,2,1,0
-1,12,1574,4,2,50,1,1,3,2,3,0,2,2,0,0,2,1,2,0,0
-1,18,1445,4,4,49,1,1,2,1,4,4,3,2,0,2,0,1,1,0,0
-1,15,1520,4,4,63,1,1,3,4,3,4,4,2,0,1,2,1,2,0,0
-1,24,3878,4,2,37,1,1,1,4,0,1,1,0,0,2,2,1,2,1,0
-1,47,10722,1,1,35,1,1,0,2,0,0,1,1,0,0,2,1,1,1,0
-1,48,4788,4,3,26,1,2,0,2,1,0,3,2,0,1,2,1,2,0,0
-1,48,7582,2,4,31,1,1,1,3,2,1,0,2,0,3,2,2,3,1,0
-1,12,1092,4,4,49,2,1,1,2,4,0,2,1,2,0,2,1,2,1,0
1,24,1024,4,4,48,1,1,0,3,4,0,1,3,0,0,1,1,2,0,0
-1,12,1076,2,2,26,1,1,3,2,9,0,2,3,0,0,2,1,2,1,1
1,36,9398,1,4,28,1,1,1,2,1,0,1,3,0,2,2,0,3,1,0
-1,24,6419,2,4,44,2,2,0,4,1,0,4,1,0,3,2,2,3,1,0
-1,42,4796,4,4,56,1,1,2,4,1,0,4,2,0,3,2,2,2,0,0
-1,48,7629,4,2,46,2,2,3,4,9,4,4,0,0,2,0,1,3,0,0
1,48,9960,1,2,26,1,1,1,2,3,0,1,1,0,2,2,1,2,1,0
-1,12,4675,1,4,20,1,1,3,2,1,4,1,1,0,2,2,0,2,0,0
-1,10,1287,4,2,45,1,1,3,2,0,4,4,2,1,1,2,1,1,0,1
-1,18,2515,3,4,43,1,1,3,2,3,0,2,2,0,0,2,1,2,1,0
-1,21,2745,3,2,32,2,1,1,4,3,3,3,2,0,2,2,1,2,1,0
