0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1,6,672,1,4,54,1,1,3,2,0,0,0,1,0,0,2,1,0,1,0
1,36,3804,4,1,42,1,1,1,0,4,0,2,1,0,2,2,1,2,1,0
1,24,1344,4,2,37,2,2,2,4,0,4,3,2,0,0,0,1,1,0,0
-1,10,1038,4,3,49,2,1,0,4,0,0,3,2,1,1,2,1,2,1,0
1,48,10127,2,2,44,1,1,3,4,0,2,2,2,0,3,0,2,2,0,0
-1,6,1543,4,2,33,1,1,3,2,3,3,2,0,0,0,2,1,2,0,0
-1,30,4811,2,4,24,1,1,3,2,1,4,3,1,0,1,1,0,1,0,0
1,12,727,4,3,33,1,1,0,2,4,1,1,3,0,3,2,1,1,1,0
1,8,1237,3,4,24,1,1,1,2,3,0,2,1,0,0,2,1,2,0,0
-1,9,276,4,4,22,1,1,1,2,0,0,2,3,0,0,2,0,1,0,0
-1,48,5381,3,4,40,1,1,1,2,2,4,0,2,0,3,0,2,0,1,0
-1,24,5511,4,1,25,1,1,3,2,3,1,2,2,0,2,1,1,2,0,0
-1,24,3749,2,4,26,1,1,2,2,3,0,1,1,0,2,2,1,2,0,0
1,12,685,2,3,25,1,1,1,2,0,0,3,3,0,2,0,1,1,0,0
-1,4,1494,1,2,29,1,2,2,2,0,4,1,2,0,0,2,1,1,0,1
1,36,2746,4,4,31,1,1,0,1,3,0,4,2,0,2,0,1,2,0,0
-1,12,708,2,3,38,1,2,0,2,3,0,2,2,2,1,2,1,1,0,0
-1,24,4351,1,4,48,1,1,1,2,3,4,2,1,0,1,2,1,1,1,0
-1,12,701,4,2,32,2,1,3,4,7,0,2,2,0,2,2,1,2,0,0
-1,15,3643,1,4,27,2,1,0,3,3,0,4,1,0,1,2,1,1,0,0
1,30,4249,4,2,28,2,1,1,4,0,0,0,3,0,2,2,1,3,0,0
1,24,1938,4,3,32,1,1,0,2,4,0,1,0,0,1,2,1,2,0,0
-1,24,2910,2,1,34,1,1,0,2,1,0,3,2,0,3,2,2,3,1,0
-1,18,2659,4,2,28,1,1,0,2,3,3,2,2,0,2,2,1,2,0,0
-1,18,1028,4,3,36,2,1,3,4,0,0,2,1,0,0,2,1,2,0,0
-1,8,3398,1,4,39,2,1,0,4,0,0,3,2,0,0,2,1,1,0,1
-1,12,5801,2,4,49,1,1,3,4,3,4,4,2,0,1,2,0,2,1,0
-1,24,1525,4,3,34,1,2,3,2,0,3,3,1,0,2,2,1,2,1,0
-1,36,4473,4,2,31,1,1,2,2,4,0,4,2,0,2,2,1,2,0,0
-1,6,1068,4,4,28,1,2,1,2,4,0,4,2,0,2,2,1,2,0,0
-1,24,6615,2,4,75,2,1,0,4,1,0,0,2,0,3,2,2,3,1,0
1,18,1864,4,2,30,2,1,3,4,7,1,2,1,0,0,2,1,2,0,0
1,60,7408,4,2,24,1,1,1,2,0,1,1,1,0,1,2,1,3,0,0
1,48,11590,2,4,24,2,1,3,4,1,1,2,1,0,2,0,0,1,0,0
1,24,4110,3,4,23,2,2,0,0,3,0,4,2,0,3,0,0,2,0,0
1,6,3384,1,4,44,1,1,0,4,3,0,2,0,0,0,2,0,3,1,0
-1,13,2101,2,4,23,1,1,1,2,4,0,1,1,2,1,2,1,1,0,0
1,15,1275,4,2,24,1,1,0,2,5,4,2,1,0,2,2,0,2,0,0
-1,24,4169,4,4,28,1,1,0,2,3,0,2,2,0,1,2,1,2,0,0
-1,10,1521,4,2,31,1,1,1,2,3,0,2,0,0,2,2,1,1,0,0
-1,24,5743,2,4,24,2,1,1,4,7,0,1,1,0,3,2,2,2,1,0
-1,21,3599,1,4,26,1,1,0,2,3,0,3,1,0,2,2,0,1,0,0
-1,18,3213,1,3,25,1,1,1,2,4,2,1,3,0,0,2,0,2,0,0
-1,18,4439,1,1,33,1,1,1,2,9,0,4,2,1,0,0,1,3,1,0
-1,10,3949,1,1,37,1,2,2,2,0,0,1,2,2,1,2,1,1,0,0
-1,15,1459,4,2,43,1,1,3,4,4,0,2,1,0,2,2,1,1,0,0
-1,13,882,4,4,23,2,1,1,4,4,0,1,2,2,0,2,1,2,0,0
-1,24,3758,1,4,23,1,1,1,2,4,2,0,1,0,3,2,0,0,0,0
-1,6,1743,1,2,34,2,1,3,3,9,1,2,2,0,0,2,1,1,0,0
1,9,1136,4,3,32,2,2,1,4,7,3,4,2,0,3,2,2,2,0,0
