0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,24,3123,4,1,27,1,1,0,2,0,0,1,1,0,1,2,1,2,0,0
-1,36,5493,2,4,42,1,2,0,2,1,0,4,2,0,3,2,2,2,0,0
-1,9,1126,2,4,49,1,1,2,2,4,1,4,0,0,0,2,1,2,0,0
1,24,1216,4,4,38,2,2,1,4,4,1,1,2,0,3,0,1,2,0,0
1,24,1207,4,4,24,1,1,0,2,0,0,1,1,0,1,2,0,2,0,0
1,10,1309,4,4,27,1,1,3,2,0,4,2,2,2,1,2,1,1,0,0
-1,15,2360,2,2,36,1,1,2,4,1,2,2,2,0,2,2,1,2,1,0
1,15,6850,1,2,34,1,2,1,1,0,1,0,2,0,1,2,1,3,1,0
-1,24,1413,4,2,28,1,1,3,2,4,0,2,3,0,1,2,1,2,0,0
-1,39,8588,4,2,45,1,1,3,2,1,1,4,2,0,2,2,1,3,1,0
1,12,759,4,2,26,1,1,0,2,0,0,3,2,0,0,2,1,2,0,0
-1,36,4686,2,2,32,1,1,3,2,1,0,2,2,0,3,2,2,3,1,0
-1,15,2687,2,4,26,1,1,2,2,9,0,3,2,0,1,2,0,2,1,0
-1,12,585,4,4,20,2,1,1,3,4,0,2,3,1,0,2,0,2,0,0
-1,24,2255,4,1,54,1,1,3,2,0,4,1,2,0,1,2,1,2,0,0
-1,6,609,4,3,37,2,1,0,4,0,0,3,1,0,1,2,1,2,0,1
-1,6,1361,2,4,40,1,2,0,4,0,0,1,2,0,0,2,1,1,0,1
1,36,7127,2,4,23,2,1,3,4,3,0,1,1,0,1,2,0,2,1,0
-1,6,1203,3,2,43,1,1,0,2,0,1,4,2,0,1,2,1,2,1,0
-1,6,700,4,4,36,2,1,3,4,4,4,4,2,0,3,2,2,2,0,0
-1,24,5507,3,4,44,2,1,3,4,6,0,4,2,0,3,2,2,2,0,0
1,18,3190,2,2,24,1,1,0,2,4,0,2,1,0,0,2,1,2,0,0
1,48,7119,3,4,53,2,2,0,0,3,0,2,2,0,3,2,2,2,0,0
-1,24,3488,3,4,23,1,1,3,2,1,1,3,1,0,2,2,1,2,0,0
-1,18,1113,4,4,26,1,2,1,2,4,0,2,1,2,0,2,1,1,0,0
-1,26,7966,2,3,30,2,1,1,2,1,0,1,2,0,2,2,1,2,0,0
-1,15,1532,4,3,31,1,1,3,4,7,1,2,1,0,2,2,1,2,0,0
-1,4,1503,2,1,42,2,2,3,4,4,0,3,2,0,0,2,1,1,0,0
1,36,2302,4,4,31,1,1,0,2,4,0,2,0,0,2,2,0,2,0,0
-1,6,662,3,4,41,1,2,0,2,0,0,1,2,0,0,2,1,1,1,0
-1,36,2273,3,1,32,2,2,1,2,7,0,3,2,0,2,2,1,2,0,0
1,15,2631,2,4,28,2,1,1,2,0,1,2,1,0,2,2,0,2,1,0
-1,12,1503,4,4,41,1,1,3,3,1,0,2,3,0,0,2,0,2,0,0
-1,24,1311,4,3,26,1,1,3,2,4,1,3,3,0,1,2,1,2,1,0
-1,24,3105,4,2,25,2,1,3,2,4,4,1,2,0,2,2,1,2,0,0
1,21,2319,2,1,33,1,1,2,4,7,0,1,0,0,2,2,0,2,0,0
-1,6,1374,4,3,75,1,1,0,2,0,4,0,1,0,1,2,1,3,1,0
